firstname_asc,firstname,freq
Jurandy,Jurandy,3
Jurandyr,Jurandyr,3
Juscelino,Juscelino,21
Juscelio,Juscélio,5
Jussara,Jussara,6
Justina,Justina,4
Justino,Justino,5
Juvenal,Juvenal,20
Juvencio,Juvêncio,13
Juvenil,Juvenil,4
Karina,Karina,4
Karla,Karla,4
Katia,Katia,4
Katia,Kátia,52
Kelly,Kelly,3
Kenia,Kênia,4
Kerginaldo,Kerginaldo,3
Kleber,Kleber,9
Kleber,Kléber,6
Ladislau,Ladislau,3
Laecio,Laécio,6
Laercio,Laercio,10
Laercio,Laércio,150
Laerte,Laerte,11
Laide,Laíde,3
Lair,Lair,3
Lais,Lais,3
Lais,Laís,5
Lasaro,Lásaro,6
Laudelino,Laudelino,3
Laudemir,Laudemir,4
Laudiceia,Laudicéia,5
Laura,Laura,5
Laurentino,Laurentino,7
Lauri,Lauri,8
Laurindo,Laurindo,6
Lauro,Lauro,40
Lazara,Lázara,8
Lazaro,Lazaro,10
Lazaro,Lázaro,126
Lea,Léa,11
Leandra,Leandra,3
Leandro,Leandro,50
Leao,Leão,4
Lecio,Lécio,4
Leda,Lêda,15
Leia,Léia,8
Leila,Leila,16
Lelia,Lélia,4
Lelio,Lélio,11
Lelis,Lélis,3
Lenildo,Lenildo,4
Lenilson,Lenilson,4
Lenir,Lenir,3
Leny,Leny,3
Leo,Léo,23
Leocadio,Leocádio,9
Leomar,Leomar,8
Leonardo,Leonardo,43
Leoncio,Leoncio,3
Leoncio,Leôncio,18
Leonel,Leonel,12
Leonice,Leonice,5
Leonicio,Leonício,3
Leonidas,Leonidas,4
Leonidas,Leônidas,32
Leonidio,Leonídio,8
Leonildo,Leonildo,6
Leonir,Leonir,9
Leopoldino,Leopoldino,4
Leopoldo,Leopoldo,4
Leticia,Letícia,12
Levi,Levi,9
Levy,Levy,7
Liberio,Libério,7
Licerio,Licério,3
Lidia,Lídia,12
Lidio,Lidio,4
Lidio,Lídio,7
Ligia,Ligia,3
Ligia,Lígia,17
Lilian,Lilian,3
Liliane,Liliane,7
Lincoln,Lincoln,4
Lindolfo,Lindolfo,5
Lindomar,Lindomar,16
Lindoval,Lindoval,4
Lino,Lino,7
Lirio,Lírio,5
Livia,Lívia,5
Livio,Lívio,9
Lourdes,Lourdes,8
Lourenco,Lourenço,26
Lourival,Lourival,29
Lourivaldo,Lourivaldo,5
Luana,Luana,3
Lucas,Lucas,14
Lucelia,Lucélia,10
Lucelio,Lucélio,6
Lucia,Lucia,14
Lucia,Lúcia,143
Luciana,Luciana,15
Luciane,Luciane,3
Luciano,Luciano,88
Lucidio,Lucídio,7
Luciene,Luciene,6
Lucileia,Luciléia,3
Lucilene,Lucilene,4
Lucilia,Lucília,3
Lucilio,Lucílio,6
Lucimar,Lucimar,15
Lucimario,Lucimário,4
Lucinea,Lucinéa,4
Lucineia,Lucinéia,10
Lucio,Lucio,12
Lucio,Lúcio,93
Lucivania,Lucivânia,3
Lucrecia,Lucrécia,4
Lucrecio,Lucrécio,5
Luis,Luis,130
Luis,Luís,197
Luiz,Luiz,644
Luiz,Luíz,41
Luiza,Luiza,16
Luiza,Luíza,5
Lupercio,Lupércio,3
Lurdes,Lurdes,4
Luzia,Luzia,28
Luzimar,Luzimar,3
Maciel,Maciel,3
Macio,Mácio,3
Maercio,Maércio,5
Magalhaes,Magalhães,3
Magno,Magno,11
Magnolia,Magnólia,11
Maicon,Maicon,4
Maisa,Maisa,3
Maisa,Maísa,5
Mamedio,Mamédio,6
Manasses,Manassés,8
Manoel,Manoel,415
Manuel,Manuel,23
Mara,Mara,16
Marcal,Marçal,6
Marcel,Marcel,5
Marcelino,Marcelino,8
Marcello,Marcello,3
Marcelo,Marcelo,147
Marcia,Marcia,22
Marcia,Márcia,198
Marciano,Marciano,8
Marcilio,Marcilio,4
Marcilio,Marcílio,35
Marcio,Marcio,76
Marcio,Márcio,506
Marco,Marco,287
Marcondes,Marcondes,4
Marcone,Marcone,3
Marconi,Marconi,5
Marcos,Marcos,554
Marcus,Marcus,57
Mardonio,Mardônio,12
Margareth,Margareth,7
Margarida,Margarida,13
Maria,Maria,2525
Mariana,Mariana,3
Mariangela,Mariângela,9
Mariano,Mariano,13
Marilda,Marilda,3
Marildo,Marildo,4
Marileia,Mariléia,3
Marilene,Marilene,11
Marilia,Marília,32
Marilu,Marilú,6
Marina,Marina,12
Marinaldo,Marinaldo,8
Marinalva,Marinalva,5
Marines,Marinês,9
Marinete,Marinete,3
Marinez,Marinêz,3
Marinezio,Marinézio,4
Marinho,Marinho,4
Marino,Marino,7
Mario,Mario,63
Mario,Mário,549
Marisa,Marisa,13
Maristela,Maristela,6
Marival,Marival,4
Marivaldo,Marivaldo,5
Mariza,Mariza,10
Marizelia,Marizélia,3
Marizete,Marizete,4
Marlei,Marlei,3
Marlene,Marlene,35
Marli,Marli,24
Marlon,Marlon,5
Marlos,Marlos,4
Marlucia,Marlúcia,9
Marlucio,Marlúcio,8
Marly,Marly,11
Marta,Marta,24
Martha,Martha,4
Martinho,Martinho,9
Mary,Mary,6
Mateus,Mateus,9
Matilde,Matilde,3
Matusalem,Matusalém,9
Matuzalem,Matuzalém,3
Maura,Maura,4
Mauri,Mauri,9
Mauricia,Maurícia,3
Mauricio,Mauricio,27
Mauricio,Maurício,249
Maurilio,Maurilio,3
Maurilio,Maurílio,53
Mauro,Mauro,123
Max,Max,4
Maximo,Máximo,8
Maycon,Maycon,3
Meire,Meire,3
Merces,Mercês,3
Mercia,Mércia,10
Messias,Messias,12
Michel,Michel,5
Miguel,Miguel,102
Milena,Milena,3
Militao,Militão,5
Milton,Milton,94
Miqueias,Miquéias,3
Miriam,Miriam,6
Miriam,Míriam,3
Mirian,Mirian,12
Misael,Misael,5
Moaci,Moaci,3
Moacir,Moacir,42
Moacyr,Moacyr,6
Moises,Moises,9
Moises,Moisés,179
Moizes,Moizés,5
Monica,Monica,6
Monica,Mônica,53
Moyses,Moysés,18
Mozart,Mozart,4
Mucio,Múcio,11
Murilo,Murilo,11
Nabor,Nabor,3
Nadia,Nádia,11
Nadir,Nadir,11
Nadja,Nadja,3
Nair,Nair,8
Napoleao,Napoleão,17
Nara,Nara,7
Narciso,Narciso,4
Nascimento,Nascimento,3
Natal,Natal,8
Natalia,Natália,14
Natalicio,Natalicio,4
Natalicio,Natalício,17
Natalino,Natalino,12
Natalio,Natálio,4
Natanael,Natanael,13
Nazare,Nazaré,10
Nazareno,Nazareno,3
Nazario,Nazário,5
Nedio,Nédio,9
Nei,Nei,13
Neide,Neide,16
Neilson,Neilson,3
Neilton,Neilton,6
Neiva,Neiva,4
Nelci,Nelci,6
Neli,Neli,4
Nelia,Nélia,6
Nelio,Nélio,33
Nelson,Nelson,107
Nelson,Nélson,11
Nemesio,Nemésio,5
Nereu,Nereu,3
Neri,Neri,8
Nerio,Nério,4
Nestor,Nestor,16
Neuma,Neuma,3
Neusa,Neusa,10
Neuton,Neuton,3
Neuza,Neuza,11
Newton,Newton,8
Ney,Ney,8
Niceia,Nicéia,4
Nicolau,Nicolau,6
Nilcea,Nilcéa,3
Nilceia,Nilcéia,4
Nilda,Nilda,4
Nildo,Nildo,7
Nilmar,Nilmar,3
Nilo,Nilo,19
Nilson,Nilson,78
Nilton,Nilton,90
Nilza,Nilza,10
Nilzo,Nilzo,3
Nivaldo,Nivaldo,35
Nivia,Nívia,4
Nixon,Nixon,3
Noe,Noé,52
Noel,Noel,4
Noeli,Noeli,5
Noelia,Noélia,8
Noemia,Noêmia,9
Norberto,Norberto,11
Norival,Norival,4
Norma,Norma,10
Normando,Normando,3
Normelio,Normélio,3
Nubia,Nubia,3
Nubia,Núbia,24
Ocimar,Ocimar,5
Octavio,Octávio,8
Odacir,Odacir,4
Odair,Odair,64
Odecio,Odécio,5
Odelio,Odélio,4
Odete,Odete,3
Odilio,Odílio,4
Odilon,Odilon,15
Odineia,Odinéia,3
Odir,Odir,3
Ofelia,Ofélia,3
Olavio,Olávio,4
Olavo,Olavo,9
Oldair,Oldair,4
Oldemar,Oldemar,3
Olegario,Olegário,16
Olga,Olga,6
Olicio,Olício,5
Olimpio,Olimpio,5
Olimpio,Olímpio,24
Olinda,Olinda,3
Olivar,Olivar,3
Oliverio,Olivério,3
Olivia,Olívia,6
Olivio,Olívio,11
Omar,Omar,5
Onelio,Onélio,3
Onesimo,Onésimo,3
Onesio,Onésio,5
Onezio,Onézio,6
Onildo,Onildo,7
Onivaldo,Onivaldo,3
Onofre,Onofre,16
Onorio,Onório,4
Oracio,Orácio,5
Orelio,Orélio,3
Orival,Orival,3
Orivaldo,Orivaldo,9
Orlando,Orlando,50
Ormindo,Ormindo,4
Ornelio,Ornélio,3
Ortencio,Ortêncio,3
Oscar,Oscar,24
Oseas,Oséas,7
Oseias,Oséias,9
Osires,Osires,3
Osmair,Osmair,3
Osmar,Osmar,51
Osmario,Osmário,14
Osmir,Osmir,4
Osni,Osni,9
Osorio,Osório,25
Osvaldo,Osvaldo,90
Oswaldo,Oswaldo,13
Otacilia,Otacília,3
Otacilio,Otacílio,33
Otalicio,Otalício,4
Otavia,Otávia,3
Otaviano,Otaviano,3
Otavio,Otavio,4
Otavio,Otávio,97
Otilia,Otília,4
Otilio,Otílio,5
Ovidio,Ovidio,3
Ovidio,Ovídio,17
Ozeas,Ozéas,7
Ozeias,Ozéias,12
Ozias,Ozias,5
Oziel,Oziel,3
Ozorio,Ozório,7
Pablo,Pablo,5
Pacifico,Pacífico,5
Pascoal,Pascoal,6
Patricia,Patricia,5
Patricia,Patrícia,76
Patricio,Patricio,3
Patricio,Patrício,9
Patrocinio,Patrocínio,4
Paula,Paula,5
Paulino,Paulino,5
Paulo,Paulo,1043
Pedro,Pedro,389
Percio,Pércio,5
Pericles,Péricles,21
Perpetua,Perpétua,6
Petronio,Petrônio,19
Petrucio,Petrúcio,7
Pitagoras,Pitágoras,3
Placido,Plácido,7
Plinio,Plinio,4
Plinio,Plínio,24
Pompilio,Pompílio,3
Porfirio,Porfírio,6
Procopio,Procópio,4
Protasio,Protásio,5
Quiteria,Quitéria,14
Rafael,Rafael,35
Raimunda,Raimunda,31
Raimundo,Raimundo,356
Ramao,Ramão,22
Ramiro,Ramiro,5
Ramon,Ramon,3
Ranulfo,Ranulfo,3
Raphael,Raphael,5
Raquel,Raquel,12
Raul,Raul,19
Regina,Regina,62
Reginaldo,Reginaldo,64
Regis,Régis,17
Reinaldo,Reinaldo,63
Remi,Remi,4
Renaldo,Renaldo,3
Renan,Renan,4
Renata,Renata,7
Renato,Renato,81
Rene,René,5
Rene,Renê,30
Reni,Reni,5
Renilda,Renilda,3
Renilson,Renilson,4
Renivaldo,Renivaldo,3
Reynaldo,Reynaldo,4
Ricardo,Ricardo,133
Richard,Richard,4
Rildo,Rildo,9
Rinaldo,Rinaldo,12
Rita,Rita,122
Rivail,Rivail,3
Rivaldavio,Rivaldávio,3
Rivaldo,Rivaldo,9
Rivelino,Rivelino,3
Roberio,Robério,47
Robert,Robert,6
Roberto,Roberto,157
Roberval,Roberval,3
Robson,Robson,32
Rodolfo,Rodolfo,12
Rodrigo,Rodrigo,49
Rogelio,Rogélio,5
Roger,Roger,4
Rogeria,Rogéria,11
Rogerio,Rogerio,17
Rogerio,Rogério,461
Roldao,Roldão,6
Romao,Romão,6
Romario,Romário,37
Romero,Romero,7
Romeu,Romeu,9
Romildo,Romildo,18
Romilson,Romilson,3
Romilton,Romilton,3
Romualdo,Romualdo,8
Romulo,Romulo,4
Romulo,Rômulo,55
Ronald,Ronald,4
Ronaldo,Ronaldo,98
Ronan,Ronan,4
Ronei,Ronei,4
Ronildo,Ronildo,6
Ronilson,Ronilson,3
Ronivaldo,Ronivaldo,5
Roosevelt,Roosevelt,3
Roque,Roque,29
Rosa,Rosa,35
Rosalia,Rosália,12
Rosalina,Rosalina,4
Rosalvo,Rosalvo,7
Rosana,Rosana,20
Rosane,Rosane,5
Rosangela,Rosangela,8
Rosangela,Rosângela,108
Rosaria,Rosária,5
Rosario,Rosário,4
Roseli,Roseli,15
Roselia,Rosélia,9
Rosely,Rosely,3
Rosemary,Rosemary,5
Rosemberg,Rosemberg,4
Rosemeire,Rosemeire,3
Rosendo,Rosendo,3
Rosiane,Rosiane,3
Rosilda,Rosilda,3
Rosilea,Rosiléa,3
Rosilene,Rosilene,4
Rosimar,Rosimar,5
Rosimeire,Rosimeire,5
Rosinaldo,Rosinaldo,4
Rosineia,Rosinéia,3
Rosineide,Rosineide,5
Rubem,Rubem,4
Rubens,Rubens,54
Rui,Rui,24
Rumao,Rumão,4
Rutenio,Rutênio,3
Ruth,Ruth,5
Ruy,Ruy,14
Sabino,Sabino,3
Sadi,Sadi,5
Salatiel,Salatiel,6
Salesio,Salésio,13
Salete,Salete,4
Salim,Salim,4
Salmo,Salmo,3
Salomao,Salomão,43
Salvador,Salvador,20
Salvio,Sálvio,8
Samia,Sâmia,3
Samuel,Samuel,29
Sandoval,Sandoval,3
Sandra,Sandra,50
Sandro,Sandro,45
Sansao,Sansão,6
Santo,Santo,8
Santos,Santos,4
Sara,Sara,3
Saturnino,Saturnino,6
Saulo,Saulo,12
Saverio,Savério,4
Savio,Sávio,18
Sebastiana,Sebastiana,13
Sebastiao,Sebastiao,6
Sebastiao,Sebastião,1583
Selma,Selma,8
Selmo,Selmo,6
Serafim,Serafim,4
Sergio,Sergio,42
Sergio,Sérgio,732
Servulo,Sérvulo,3
Severiano,Severiano,3
Severina,Severina,5
Severino,Severino,110
Sidinei,Sidinei,8
Sidnei,Sidnei,19
Sidneia,Sidnéia,4
Sidney,Sidney,17
Silas,Silas,12
Silene,Silene,4
Silvan,Silvan,4
Silvana,Silvana,13
Silvania,Silvania,3
Silvania,Silvânia,10
Silvanio,Silvanio,6
Silvanio,Silvânio,8
Silvano,Silvano,5
Silverio,Silvério,35
Silvestre,Silvestre,3
Silvia,Silvia,13
Silvia,Sílvia,13
Silvino,Silvino,3
Silvio,Silvio,70
Silvio,Sílvio,77
Simao,Simão,29
Simeao,Simeão,5
Simiao,Simião,9
Simone,Simone,14
Simplicio,Simplício,4
Sinesio,Sinésio,14
Sinezio,Sinézio,3
Sinval,Sinval,4
Sirio,Sírio,3
Sirlei,Sirlei,5
Sirlene,Sirlene,3
Sirley,Sirley,4
Sivaldo,Sivaldo,4
Socrates,Sócrates,3
Solange,Solange,19
Solimar,Solimar,4
Sonia,Sonia,21
Sonia,Sônia,144
Soraya,Soraya,5
Sostenes,Sóstenes,3
Stelio,Stélio,5
Stenio,Stênio,4
Sueli,Sueli,15
Suelio,Suélio,3
Suely,Suely,16
Suzana,Suzana,4
Sylvio,Sylvio,4
Tacio,Tácio,6
Tacito,Tácito,3
Tadeu,Tadeu,12
Tais,Taís,4
Tania,Tania,8
Tania,Tânia,110
Tarcisio,Tarcisio,10
Tarcisio,Tarcísio,50
Tarciso,Tarciso,3
Tarcizio,Tarcizio,3
Tarcizio,Tarcízio,3
Tassio,Tássio,3
Tatiana,Tatiana,5
Telma,Telma,8
Telmo,Telmo,4
Tenorio,Tenório,6
Teofilo,Teófilo,19
Teotonio,Teotônio,3
Tercilio,Tercílio,3
Tercio,Tércio,11
Teresinha,Teresinha,8
Tereza,Tereza,9
Terezinha,Terezinha,35
Thais,Thaís,6
Thiago,Thiago,18
Thomaz,Thomaz,3
Tiago,Tiago,12
Tiberio,Tibério,4
Tiburcio,Tibúrcio,3
Timoteo,Timóteo,3
Tito,Tito,5
Tomas,Tomás,11
Tomaz,Tomaz,5
Tome,Tomé,14
Tony,Tony,5
Tristao,Tristão,3
Tulio,Tulio,4
Tulio,Túlio,15
Turibio,Turíbio,3
Uberlandio,Uberlândio,3
Ubiracy,Ubiracy,3
Ubirajara,Ubirajara,12
Ubirata,Ubiratã,3
Ubiratan,Ubiratan,7
Uilson,Uilson,7
Ulisses,Ulisses,14
Urbano,Urbano,9
Vagner,Vagner,19
Valcir,Valcir,9
Valdeci,Valdeci,30
Valdeci,Valdecí,5
Valdecir,Valdecir,24
Valdecy,Valdecy,8
Valdei,Valdei,3
Valdeir,Valdeir,10
Valdelicio,Valdelício,4
Valdemar,Valdemar,28
Valdemir,Valdemir,19
Valdemiro,Valdemiro,14
Valdeni,Valdeni,3
Valdenicio,Valdenício,3
Valdenir,Valdenir,9
Valder,Valder,3
Valderi,Valderi,5
Valdete,Valdete,7
Valdevino,Valdevino,6
Valdimir,Valdimir,3
Valdimiro,Valdimiro,3
Valdinei,Valdinei,9
Valdineia,Valdinéia,6
Valdir,Valdir,77
Valdivino,Valdivino,18
Valdivio,Valdívio,4
Valdo,Valdo,6
Valdomiro,Valdomiro,17
Valentim,Valentim,3
Valeria,Valeria,3
Valeria,Valéria,70
Valerio,Valério,30
Valfredo,Valfredo,5
Valmi,Valmi,3
Valmir,Valmir,67
Valmor,Valmor,11
Valquiria,Valquiria,4
Valquiria,Valquíria,15
Valtair,Valtair,5
Valter,Valter,42
Valto,Valto,3
Vander,Vander,9
Vanderlei,Vanderlei,43
Vanderleia,Vanderléia,9
Vanderley,Vanderley,7
Vanderlucio,Vanderlúcio,4
Vanderson,Vanderson,4
Vandre,Vandré,4
Vanessa,Vanessa,5
Vania,Vania,5
Vania,Vânia,58
Vanildo,Vanildo,3
Vanilton,Vanilton,6
Vanio,Vânio,9
Vantuir,Vantuir,3
Venancio,Venâncio,12
Venicio,Venício,9
Vera,Vera,195
Vera,Véra,3
Veralucia,Veralúcia,5
Verissimo,Veríssimo,6
Veronica,Verônica,36
Vicencia,Vicência,5
Vicente,Vicente,67
Victor,Victor,7
Victorio,Victório,4
Vilma,Vilma,16
Vilmar,Vilmar,23
Vilson,Vilson,36
Vinicius,Vinicius,7
Vinicius,Vinícius,26
Virgilio,Virgílio,19
Virginia,Virgínia,10
Virginio,Virgínio,3
Vital,Vital,5
Vitor,Vitor,29
Vitor,Vítor,9
Vitoria,Vitória,18
Vitorio,Vitório,27
Vivaldino,Vivaldino,3
Vivaldo,Vivaldo,5
Viviane,Viviane,3
Vladimir,Vladimir,4
Volmir,Volmir,7
Volnei,Volnei,8
Wagner,Wagner,51
Walber,Walber,3
Waldemar,Waldemar,14
Waldemir,Waldemir,6
Waldir,Waldir,31
Waldivino,Waldivino,3
Waldomiro,Waldomiro,8
Waldyr,Waldyr,3
Walker,Walker,3
Walmir,Walmir,10
Walter,Walter,64
Wander,Wander,8
Wanderlei,Wanderlei,9
Wanderley,Wanderley,16
Wanderson,Wanderson,13
Wania,Wânia,3
Washington,Washington,32
Weber,Weber,7
Wedson,Wedson,3
Welington,Welington,5
Wellington,Wellington,32
Wemerson,Wemerson,3
Wenceslau,Wenceslau,3
Wesley,Wesley,4
William,William,10
Willian,Willian,9
Wilmar,Wilmar,8
Wilson,Wilson,118
Wilton,Wilton,12
Wladimir,Wladimir,6
Yara,Yara,3
Zacarias,Zacarias,7
Zaqueu,Zaqueu,3
Zelia,Zélia,51
Zelio,Zélio,9
Zenaide,Zenaide,5
Zenobio,Zenóbio,9
Zila,Zilá,10
Zilda,Zilda,3
Zuleide,Zuleide,5
